Wavelength,I,Incrament,,Ambient Air
655.8941,0.40351,,,
655.89415,0.40449,,,
655.8942,0.40376,,,
655.89425,0.40412,,,
655.8943,0.40394,,,
655.89435,0.40394,,,
655.8944,0.404,,,
655.89445,0.40382,,,
655.8945,0.4037,,,
655.89455,0.40443,,,
655.8946,0.40376,,,
655.89465,0.4037,,,
655.8947,0.40382,,,
655.89475,0.40406,,,
655.8948,0.40351,,,
655.89485,0.404,,,
655.8949,0.40388,,,
655.89495,0.40394,,,
655.895,0.40388,,,
655.89505,0.40388,,,
655.8951,0.40376,,,
655.89515,0.40419,,,
655.8952,0.40443,,,
655.89525,0.40388,,,
655.8953,0.40388,,,
655.89535,0.40364,,,
655.8954,0.40376,,,
655.89545,0.40394,,,
655.8955,0.40376,,,
655.89555,0.404,,,
655.8956,0.40406,,,
655.89565,0.40419,,,
655.8957,0.40382,,,
655.89575,0.40376,,,
655.8958,0.404,,,
655.89585,0.40449,,,
655.8959,0.40351,,,
655.89595,0.40455,,,
655.896,0.40394,,,
655.89605,0.40388,,,
655.8961,0.40376,,,
655.89615,0.40364,,,
655.8962,0.40382,,,
655.89625,0.40437,,,
655.8963,0.40412,,,
655.89635,0.404,,,
655.8964,0.40412,,,
655.89645,0.4037,,,
655.8965,0.40419,,,
655.89655,0.40406,,,
655.8966,0.40412,,,
655.89665,0.40376,,,
655.8967,0.40388,,,
655.89675,0.40431,,,
655.8968,0.40431,,,
655.89685,0.40394,,,
655.8969,0.4037,,,
655.89695,0.40394,,,
655.897,0.40358,,,
655.89705,0.40437,,,
655.8971,0.40406,,,
655.89715,0.40412,,,
655.8972,0.40382,,,
655.89725,0.40412,,,
655.8973,0.40376,,,
655.89735,0.40425,,,
655.8974,0.40431,,,
655.89745,0.40388,,,
655.8975,0.40419,,,
655.89755,0.40376,,,
655.8976,0.404,,,
655.89765,0.40455,,,
655.8977,0.40406,,,
655.89775,0.40406,,,
655.8978,0.40431,,,
655.89785,0.40382,,,
655.8979,0.40449,,,
655.89795,0.40437,,,
655.898,0.40467,,,
655.89805,0.40443,,,
655.8981,0.40406,,,
655.89815,0.40406,,,
655.8982,0.40388,,,
655.89825,0.40455,,,
655.8983,0.40412,,,
655.89835,0.40412,,,
655.8984,0.40382,,,
655.89845,0.40461,,,
655.8985,0.40382,,,
655.89855,0.40437,,,
655.8986,0.40406,,,
655.89865,0.40412,,,
655.8987,0.40412,,,
655.89875,0.40412,,,
655.8988,0.40473,,,
655.89885,0.40406,,,
655.8989,0.40388,,,
655.89895,0.40419,,,
655.899,0.404,,,
655.89905,0.404,,,
655.8991,0.40486,,,
655.89915,0.40406,,,
655.8992,0.40406,,,
655.89925,0.40364,,,
655.8993,0.40498,,,
655.89935,0.404,,,
655.8994,0.40437,,,
655.89945,0.40412,,,
655.8995,0.40394,,,
655.89955,0.40473,,,
655.8996,0.40406,,,
655.89965,0.40437,,,
655.8997,0.40486,,,
655.89975,0.40419,,,
655.8998,0.40406,,,
655.89985,0.40351,,,
655.8999,0.40431,,,
655.89995,0.40406,,,
655.9,0.40394,,,
655.90005,0.40431,,,
655.9001,0.40419,,,
655.90015,0.40388,,,
655.9002,0.40431,,,
655.90025,0.40425,,,
655.9003,0.40425,,,
655.90035,0.40449,,,
655.9004,0.40535,,,
655.90045,0.40412,,,
655.9005,0.40473,,,
655.90055,0.40412,,,
655.9006,0.40425,,,
655.90065,0.404,,,
655.9007,0.40443,,,
655.90075,0.40425,,,
655.9008,0.40455,,,
655.90085,0.40504,,,
655.9009,0.40449,,,
655.90095,0.40449,,,
655.901,0.40437,,,
655.90105,0.40425,,,
655.9011,0.40461,,,
655.90115,0.40443,,,
655.9012,0.40431,,,
655.90125,0.40473,,,
655.9013,0.40467,,,
655.90135,0.40412,,,
655.9014,0.40412,,,
655.90145,0.40419,,,
655.9015,0.40443,,,
655.90155,0.40492,,,
655.9016,0.40412,,,
655.90165,0.40467,,,
655.9017,0.40431,,,
655.90175,0.40486,,,
655.9018,0.40455,,,
655.90185,0.40388,,,
655.9019,0.40425,,,
655.90195,0.40455,,,
655.902,0.40419,,,
655.90205,0.40443,,,
655.9021,0.40412,,,
655.90215,0.4048,,,
655.9022,0.40412,,,
655.90225,0.40455,,,
655.9023,0.4048,,,
655.90235,0.40528,,,
655.9024,0.40492,,,
655.90245,0.40467,,,
655.9025,0.40504,,,
655.90255,0.40412,,,
655.9026,0.4051,,,
655.90265,0.40473,,,
655.9027,0.40467,,,
655.90275,0.40449,,,
655.9028,0.40486,,,
655.90285,0.40492,,,
655.9029,0.40596,,,
655.90295,0.40522,,,
655.903,0.40492,,,
655.90305,0.40541,,,
655.9031,0.4048,,,
655.90315,0.40449,,,
655.9032,0.40528,,,
655.90325,0.40412,,,
655.9033,0.40559,,,
655.90335,0.40516,,,
655.9034,0.40528,,,
655.90345,0.40504,,,
655.9035,0.40504,,,
